post_id,comment_id,text,author_name,created_time,likes_count
DQE67GPAAq5,,👏,,,0
DQE67GPAAq5,,👏👏👏❤️,,,0
DQE67GPAAq5,,Nice,,,0
DQE67GPAAq5,,ts update is trash,,,0
DQE67GPAAq5,,🔥🔥,,,0
DQE67GPAAq5,,ﮩ٨ـﮩﮩ٨ـ♡ﮩ٨ـﮩﮩ٨ـ,,,0
DQE67GPAAq5,,😍,,,0
DQE67GPAAq5,,ASDCFVGB,,,0
DQE67GPAAq5,,🙌🙌,,,0
DQCtchWEsDk,,😂😂😂😂😂😂😂😂😂😂😂,,,0
DQCtchWEsDk,,🔥,,,0
DQCtchWEsDk,,Seperti lukisan hidup!,,,0
DQCtchWEsDk,,🔥🔥,,,0
DQCtchWEsDk,,Beautiful work 👏🏼 😍,,,0
DQCtchWEsDk,,@prince_kumar_official_01,,,0
DQCtchWEsDk,,@prince_kumar_official_01,,,0
DQCtchWEsDk,,@prince_kumar_official_01,,,0
DQCWV0TDGXS,,"No sé quién es mejor, si ella o el camarógrafo",,,0
DQCWV0TDGXS,,👏👏,,,0
DQCWV0TDGXS,,❤️❤️,,,0
DQCWV0TDGXS,,🔥,,,0
DQCWV0TDGXS,,❤️❤️❤️🔥🔥🔥❤️❤️,,,0
DQCWV0TDGXS,,🙌💋💋💋,,,0
DQCWV0TDGXS,,🔥🔥,,,0
DPypkZFgC9f,,❤️❤️❤️,,,0
DPypkZFgC9f,,👏👏,,,0
DPypkZFgC9f,,GIVE ME REPOSTS,,,0
DPypkZFgC9f,,That is grat update 🔥🙌,,,0
DPypkZFgC9f,,😮😮😮,,,0
DPypkZFgC9f,,❤️,,,0
DPypkZFgC9f,,🙌❤️,,,0
DPypkZFgC9f,,❤️,,,0
DPypkZFgC9f,,👏👏👏👏,,,0
DP6pe5rAIx6,,Spoiler : il va chialer toute sa life pour ça.,,,0
DP6pe5rAIx6,,👏,,,0
DP6pe5rAIx6,,👏👏,,,0
DP6pe5rAIx6,,❤️🔥,,,0
DP6pe5rAIx6,,Best couple ❤️,,,0
DP6pe5rAIx6,,enough my internet for today 😭,,,0
DP6pe5rAIx6,,i love wat i see,,,0
DP6pe5rAIx6,,@nothandopnkosi  yoooh akadafani newakho 😂😂😂,,,0
DP6pe5rAIx6,,😍😍😍,,,0
DPy6ZZtkUJ2,,Rolit mobailfon and enjoy😂,,,0
DPy6ZZtkUJ2,,"No des vuelta la pantalla, que pierde la magia!!!",,,0
DPy6ZZtkUJ2,,You’ve nailed this one 👏,,,0
DPy6ZZtkUJ2,,Why does this video actually make me cry,,,0
DPy6ZZtkUJ2,,どうやって撮影したのか？さっぱり分からない😮素晴らしい映像です👏👏👏,,,0
DPy6ZZtkUJ2,,❤️❤️❤️❤️,,,0
DPy6ZZtkUJ2,,Nice upside down material 👏,,,0
DPy6ZZtkUJ2,,,,,0
DPy6ZZtkUJ2,,@patilpanubhai 😂,,,0
DP4DbBmEXv3,,Sweeties ❤️❤️❤️❤️❤️❤️❤️❤️😍😍😍,,,0
DP4DbBmEXv3,,the cat looks so cute😍,,,0
DP4DbBmEXv3,,Can you help so that my page is also seen?🥺🥲,,,0
DP4DbBmEXv3,,qtt,,,0
DP4DbBmEXv3,,😻,,,0
DP4DbBmEXv3,,@radhe_ke_diwana__,,,0
DP4DbBmEXv3,,Instagram respect butten🔥,,,0
DP4DbBmEXv3,,"26 / 5 000
OUR SECRET IS ETERNAL",,,0
DP4DbBmEXv3,,😍,,,0
DP4DbBmEXv3,,😻😻😻,,,0
DP1zlfJEcYz,,#bhagini,,,0
DP1zlfJEcYz,,واقعیت تلخ لباس شویی,,,0
DP1zlfJEcYz,,Woooow,,,0
